category,rate 1,rate 2,rate 3
A,0,0.12,0.02
B,0,0.0585,0.02
C,0,0,0
F,0,12,0.02
H,0,0.12,0.02
I,0,0.0585,0.02
J,0,0.02,0.02
L,0,2,0.02
M,0,0.12,0.02
S,0,0,0
V,0,0.12,0.02
Z,0,0.02,0.02
