fileId,fileUrls from query AERDB_M3_VIIRS_NOAA20--5200 AERDB_M3_VIIRS_SNPP--5200 2009-01-01..2023-05-08 x-180y90 x180y-90[5],size
7473472040,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2022/001/AERDB_M3_VIIRS_NOAA20.A2022001.002.2023083190933.nc,6009012
7508786896,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2018/274/AERDB_M3_VIIRS_NOAA20.A2018274.002.2023089190509.nc,6363160
7508786898,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2018/305/AERDB_M3_VIIRS_NOAA20.A2018305.002.2023089190510.nc,5950400
7508786899,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2018/182/AERDB_M3_VIIRS_NOAA20.A2018182.002.2023089190509.nc,6382650
7508786900,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2018/213/AERDB_M3_VIIRS_NOAA20.A2018213.002.2023089190511.nc,6580574
7508786901,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2019/032/AERDB_M3_VIIRS_NOAA20.A2019032.002.2023089190509.nc,6086785
7508786904,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2018/121/AERDB_M3_VIIRS_NOAA20.A2018121.002.2023089190507.nc,6175636
7508786905,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2018/152/AERDB_M3_VIIRS_NOAA20.A2018152.002.2023089190510.nc,6222094
7508786906,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2018/091/AERDB_M3_VIIRS_NOAA20.A2018091.002.2023089190507.nc,6157543
7508786907,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2019/001/AERDB_M3_VIIRS_NOAA20.A2019001.002.2023089190510.nc,6004210
7508786908,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2018/335/AERDB_M3_VIIRS_NOAA20.A2018335.002.2023089190509.nc,5940718
7508786909,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2019/335/AERDB_M3_VIIRS_NOAA20.A2019335.002.2023089190510.nc,5906862
7508786910,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2019/091/AERDB_M3_VIIRS_NOAA20.A2019091.002.2023089190510.nc,6238510
7508786911,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2019/213/AERDB_M3_VIIRS_NOAA20.A2019213.002.2023089190510.nc,6615973
7508786912,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2019/305/AERDB_M3_VIIRS_NOAA20.A2019305.002.2023089190511.nc,5959617
7508786913,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2019/121/AERDB_M3_VIIRS_NOAA20.A2019121.002.2023089190511.nc,6196674
7508786914,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2019/060/AERDB_M3_VIIRS_NOAA20.A2019060.002.2023089190508.nc,6214592
7508786915,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2019/182/AERDB_M3_VIIRS_NOAA20.A2019182.002.2023089190510.nc,6444852
7508786916,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2020/001/AERDB_M3_VIIRS_NOAA20.A2020001.002.2023089190512.nc,6043915
7508786917,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2019/274/AERDB_M3_VIIRS_NOAA20.A2019274.002.2023089190513.nc,6290528
7508786918,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2019/244/AERDB_M3_VIIRS_NOAA20.A2019244.002.2023089190512.nc,6624579
7508786919,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2019/152/AERDB_M3_VIIRS_NOAA20.A2019152.002.2023089190509.nc,6248241
7508786920,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2020/092/AERDB_M3_VIIRS_NOAA20.A2020092.002.2023089190513.nc,6222404
7508786921,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2020/061/AERDB_M3_VIIRS_NOAA20.A2020061.002.2023089190513.nc,6212575
7508786922,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2020/183/AERDB_M3_VIIRS_NOAA20.A2020183.002.2023089190514.nc,6417866
7508786923,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2020/214/AERDB_M3_VIIRS_NOAA20.A2020214.002.2023089190514.nc,6596510
7508786924,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2020/032/AERDB_M3_VIIRS_NOAA20.A2020032.002.2023089190511.nc,6100815
7508786925,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2021/001/AERDB_M3_VIIRS_NOAA20.A2021001.002.2023089190514.nc,5982487
7508786926,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2020/306/AERDB_M3_VIIRS_NOAA20.A2020306.002.2023089190512.nc,5981965
7508786927,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2020/122/AERDB_M3_VIIRS_NOAA20.A2020122.002.2023089190513.nc,6237183
7508786928,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2020/153/AERDB_M3_VIIRS_NOAA20.A2020153.002.2023089190512.nc,6225788
7508786929,/archive/allData/5200/AERDB_M3_VIIRS_NOAA20/2020/275/AERDB_M3_VIIRS_NOAA20.A2020275.002.2023089190512.nc,6282536
