category,rate 1,rate 2,rate 3
A,0,0.138,0.138
B,0,0.138,0.138
C,0,0.138,0.138
F,0,0.138,0.138
H,0,0,0.138
I,0,0.138,0.138
J,0,0.138,0.138
L,0,0.138,0.138
M,0,0,0.138
S,0,0.138,0.138
V,0,0,0.138
Z,0,0,0.138
